12:20:18.695 | 0e | 0412 | ectc301perto |  -46
12:20:18.915 | 0e | 0413 | ectc301perto |  -46
12:20:19.135 | 0e | 0414 | ectc301perto |  -47
12:20:19.362 | 0e | 0415 | ectc301perto |  -48
12:20:19.566 | 0e | 0416 | ectc301perto |  -48
12:20:19.784 | 0e | 0417 | ectc301perto |  -48
12:20:19.988 | 0e | 0418 | ectc301perto |  -48
12:20:20.199 | 0e | 0419 | ectc301perto |  -48
12:20:20.406 | 0e | 0420 | ectc301perto |  -48
12:20:20.604 | 0e | 0421 | ectc301perto |  -48
12:20:20.819 | 0e | 0422 | ectc301perto |  -48
12:20:21.045 | 0e | 0423 | ectc301perto |  -47
12:20:21.274 | 0e | 0424 | ectc301perto |  -46
12:20:21.500 | 0e | 0425 | ectc301perto |  -46
12:20:21.723 | 0e | 0426 | ectc301perto |  -46
12:20:21.929 | 0e | 0427 | ectc301perto |  -46
12:20:22.121 | 0e | 0428 | ectc301perto |  -46
12:20:22.325 | 0e | 0429 | ectc301perto |  -46
12:20:22.532 | 0e | 0430 | ectc301perto |  -46
12:20:22.761 | 0e | 0431 | ectc301perto |  -46
12:20:22.983 | 0e | 0432 | ectc301perto |  -46
12:20:23.205 | 0e | 0433 | ectc301perto |  -46
12:20:23.433 | 0e | 0434 | ectc301perto |  -46
12:20:23.665 | 0e | 0435 | ectc301perto |  -46
12:20:23.876 | 0e | 0436 | ectc301perto |  -46
12:20:24.068 | 0e | 0437 | ectc301perto |  -46
12:20:24.303 | 0e | 0438 | ectc301perto |  -46
12:20:24.515 | 0e | 0439 | ectc301perto |  -46
12:20:24.728 | 0e | 0440 | ectc301perto |  -46
12:20:24.947 | 0e | 0441 | ectc301perto |  -46
12:20:25.149 | 0e | 0442 | ectc301perto |  -46
12:20:25.362 | 0e | 0443 | ectc301perto |  -46
12:20:25.583 | 0e | 0444 | ectc301perto |  -46
12:20:25.805 | 0e | 0445 | ectc301perto |  -46
12:20:26.031 | 0e | 0446 | ectc301perto |  -46
12:20:26.242 | 0e | 0447 | ectc301perto |  -46
12:20:26.449 | 0e | 0448 | ectc301perto |  -46
12:20:26.662 | 0e | 0449 | ectc301perto |  -46
12:20:26.887 | 0e | 0450 | ectc301perto |  -46
12:20:27.092 | 0e | 0451 | ectc301perto |  -46
12:20:27.327 | 0e | 0452 | ectc301perto |  -46
12:20:27.553 | 0e | 0453 | ectc301perto |  -46
12:20:27.768 | 0e | 0454 | ectc301perto |  -46
12:20:27.979 | 0e | 0455 | ectc301perto |  -46
12:20:28.177 | 0e | 0456 | ectc301perto |  -46
12:20:28.376 | 0e | 0457 | ectc301perto |  -46
12:20:28.587 | 0e | 0458 | ectc301perto |  -46
12:20:28.800 | 0e | 0459 | ectc301perto |  -46
12:20:29.025 | 0e | 0460 | ectc301perto |  -46
12:20:29.256 | 0e | 0461 | ectc301perto |  -46
12:20:29.468 | 0e | 0462 | ectc301perto |  -46
12:20:29.677 | 0e | 0463 | ectc301perto |  -44
12:20:29.892 | 0e | 0464 | ectc301perto |  -44
12:20:30.103 | 0e | 0465 | ectc301perto |  -44
12:20:30.315 | 0e | 0466 | ectc301perto |  -44
12:20:30.528 | 0e | 0467 | ectc301perto |  -45
12:20:30.751 | 0e | 0468 | ectc301perto |  -45
12:20:30.945 | 0e | 0469 | ectc301perto |  -46
12:20:31.165 | 0e | 0470 | ectc301perto |  -46
12:20:31.378 | 0e | 0471 | ectc301perto |  -46
12:20:31.581 | 0e | 0472 | ectc301perto |  -46
12:20:31.811 | 0e | 0473 | ectc301perto |  -46
12:20:32.010 | 0e | 0474 | ectc301perto |  -46
12:20:32.233 | 0e | 0475 | ectc301perto |  -46
12:20:32.460 | 0e | 0476 | ectc301perto |  -46
12:20:32.667 | 0e | 0477 | ectc301perto |  -46
12:20:32.883 | 0e | 0478 | ectc301perto |  -46
12:20:33.118 | 0e | 0479 | ectc301perto |  -46
12:20:33.360 | 0e | 0480 | ectc301perto |  -46
12:20:33.550 | 0e | 0481 | ectc301perto |  -45
