17:37:43.442 | 0a | 0138 | 60metros |  -96
17:37:43.699 | 0a | 0139 | 60metros |  -97
17:37:43.929 | 0a | 0140 | 60metros |  -95
17:37:44.124 | 0a | 0141 | 60metros |  -94
17:37:44.351 | 0a | 0142 | 60metros |  -92
17:37:44.554 | 0a | 0143 | 60metros |  -93
17:37:44.755 | 0a | 0144 | 60metros |  -94
17:37:44.983 | 0a | 0145 | 60metros |  -97
17:37:45.195 | 0a | 0146 | 60metros |  -94
17:37:45.396 | 0a | 0147 | 60metros |  -94
17:37:45.643 | 0a | 0148 | 60metros |  -93
17:37:45.888 | 0a | 0149 | 60metros |  -95
17:38:20.011 | 14 | 0000 | Iq??LNex-u??>f?R |  -92
17:38:20.233 | 14 | 0001 | Iq??LNex-u??>f?R |  -95
17:38:20.436 | 14 | 0002 | Iq??LNex-u??>f?R |  -93
